,이름,주거지,전화번호,추천인,생년월일,구매상품,PT 등록 여부,담당 트레이너,첫 BMI 지수,현재 BMI지수,목표 BMI 지수,사용 라커,최초 등록일,누적 운동 횟수,누적 PT 횟수,가장 최근 운동일,상품권 말소 시기
1,유연수,홍지동,010-2019-1711,유정인,95.03.15,6개월권,N,-,27.5,25,20,1,2019년 05월 01일,25,0,2019년 06월 30일,2019년 07월 31일
2,김연지,홍지동,010-9765-4321,-,93.05.09,1개월권,N,-,26,25.5,23,2,2019년 05월 15일,27,0,2019년 06월 14일,2019년 06월 14일
3,박영곤,홍지동,010-7123-9090,유정인,86.12.30,6개월권,Y,T고진권,30,25.7,25,-,2019년 02월 08일,142,11,2019년 07월 16일,2019년 08월 07일
4,심기현,구기동,010-5491-7852,김바름,93.08.21,6개월권,N,-,31,29,27,4,2019년 06월 17일,13,0,2019년 07월 08일,2019년 12월 16일
5,도일수,구기동,010-2210-9757,-,88.08.03,3개월권,Y,T신창호,33,32.7,30,5,2019년 04월 28일,15,4,2019년 07월 14일,2019년 07월 27일
6,반규원,구기동,010-8852-7195,-,97.01.23,3개월권,Y,T신창호,32.4,31.9,30,6,2019년 01월 01일,25,8,2019년 07월 16일,2019년 09월 30일
7,십진수,평창동,010-8572-2124,-,92.02.29,3개월권,Y,T이유진,25.7,21.9,22,-,2019년 03월 29일,46,7,2019년 06월 28일,2019년 06월 28일
8,장거한,구기동,010-5278-1209,-,79.10.28,3개월권,Y,T고진권,27.4,26.2,26,8,2019년 02월 01일,31,5,2019년 07월 12일,2019년 08월 29일
9,한수연,홍지동,010-2129-3744,-,94.07.15,12개월권,Y,T신창호,27.2,19.8,20,9,2018년 04월 13일,301,30,2019년 07월 13일,2019년 07월 12일
10,천태백,홍지동,010-4296-4778,-,96.04.11,6개월권,Y,T이유진,36.8,36.2,30,10,2019년 06월 01일,19,3,2019년 07월 15일,2019년 11월 30일
11,유정인,홍지동,010-3889-7451,-,84.03.17,3개월권,N,-,24.9,22.5,23,11,2018년 10월 01일,52,0,2019년 05월 29일,2019년 05월 30일
12,풍상현,홍지동,010-6951-9114,-,75.09.18,6개월권,Y,T신창호,23.5,19.9,20,-,2018년 06월 01일,67,12,2019년 07월 15일,2019년 08월 30일
13,전나래,홍지동,010-3329-2177,-,67.01.14,1개월권,Y,T신창호,26.2,26.1,25,13,2019년 07월 06일,7,1,2019년 07월 14일,2019년 08월 05일
14,이기헌,구기동,010-1818-1414,-,76.02.27,6개월권,N,-,24.6,23.9,23,-,2019년 03월 15일,39,0,2019년 07월 12일,2019년 09월 14일
15,연아린,구기동,010-6541-0921,도일수,87.06.09,6개월권,Y,T이유진,27.1,24.5,23,-,2019년 01월 15일,78,8,2019년 07월 11일,2019년 08월 16일
16,명지수,효자동,010-3789-5117,-,02.05.17,3개월권,N,-,28.3,26.9,27,16,2019년 04월 27일,9,1,2019년 05월 21일,2019년 07월 26일
17,강용권,평창동,010-9006-2215,-,88.05.16,6개월권,Y,T이유진,29.1,28.4,25,17,2019년 03월 01일,51,9,2019년 06월 27일,2019년 11월 30일
18,문효정,홍제동,010-5549-7532,-,86.09.12,1개월권,N,-,29,28,28,-,2019년 05월 01일,10,0,2019년 05월 29일,2019년 05월 31일
19,김중선,효자동,010-5225-2521,-,79.11.12,12개월권,Y,T김경문,26.6,22.1,21,19,2017년 08월 01일,685,43,2019년 07월 16일,2019년 07월 31일
20,단주성,부암동,010-8483-4239,송구하,81.03.28,12개월권,Y,T한로빈,35.9,34.2,29,-,2019년 06월 01일,30,3,2019년 07월 15일,2020년 05월 31일
21,사지정,효자동,010-7291-9265,김중선,82.04.06,3개월권,Y,T한로빈,34,33.9,33,-,2019년 05월 01일,5,2,2019년 06월 18일,2019년 07월 31일
22,김바름,구기동,010-2318-5821,-,94.10.10,6개월권,Y,T한로빈,25.1,25,22,22,2019년 04월 13일,17,4,2019년 07월 05일,2019년 10월 12일
23,주한미,홍은동,010-4299-8796,문효정,93.08.22,3개월권,Y,T고진권,27.3,22.3,23,-,2019년 05월 05일,72,5,2019년 07월 16일,2019년 08월 04일
24,김무진,부암동,010-1212-1212,-,99.07.29,6개월권,Y,T김경문,21,18.7,19,24,2019년 02월 01일,138,10,2019년 07월 15일,2019년 07월 31일
25,구재승,구기동,010-1234-5665,-,77.12.25,12개월권,N,-,28.2,27.1,27,25,2018년 09월 25일,249,17,2019년 07월 16일,2019년 09월 24일
26,김재국,효자동,010-9911-2244,-,73.08.07,1개월권,Y,T김경문,31.8,30.9,31,-,2018년 07월 16일,24,4,2018년 08월 15일,2018년 08월 15일
27,박기환,구기동,010-8720-1892,반규원,95.10.16,6개월권,Y,T한로빈,22.8,20.1,22,27,2019년 01월 01일,156,11,2019년 07월 13일,2019년 07월 31일
28,이유린,평창동,010-1188-7341,-,95.04.07,1개월권,N,-,32.5,32.3,30,28,2019년 07월 01일,9,0,2019년 07월 11일,2019년 07월 31일
29,홍승준,효자동,010-2535-2140,김중선,91.02.17,3개월권,Y,T정창현,31.9,29.1,29.5,-,2019년 06월 08일,19,4,2019년 07월 15일,2019년 09월 07일
30,이유선,홍지동,010-9256-2571,명지수,91.09.21,12개월권,Y,T정창현,32.1,27.1,28,30,2019년 01월 01일,83,13,2019년 07월 15일,2019년 12월 31일
31,박성춘,홍은동,010-8227-8922,이유선,94.07.04,12개월권,Y,T김령진,33.4,33,28,31,2019년 06월 01일,19,3,2019년 07월 15일,2020년 05월 31일
32,하광일,홍지동,010-7829-1923,-,83.12.29,1개월권,N,-,30.1,29.8,29,32,2019년 04월 01일,5,0,2019년 04월 24일,2019년 04월 30일
33,김부연,홍지동,010-3976-1782,-,84.05.15,3개월권,N,-,30.8,30.7,29,33,2019년 04월 18일,14,0,2019년 07월 01일,2019년 07월 18일
34,김채린,홍지동,010-3612-8421,-,96.05.23,6개월권,Y,T고진권,29.8,25.7,27,-,2019년 03월 27일,61,8,2019년 07월 06일,2019년 09월 26일
35,설민준,홍지동,010-4412-2938,김채린,97.06.26,6개월권,Y,T고진권,28.8,27.2,25,-,2019년 06월 01일,31,4,2019년 07월 15일,2019년 11월 30일
36,김춘배,구기동,010-8088-8128,십진수,92.06.01,12개월권,Y,T김경문,35.8,32.9,30,-,2019년 01월 01일,100,6,2019년 06월 25일,2019년 12월 31일
37,백용팔,홍지동,010-1167-5102,김연지,93.04.11,3개월권,Y,T고진권,30,28,27,37,2019년 07월 16일,1,0,2019년 07월 16일,2019년 10월 15일
38,한창옥,홍지동,010-1482-8443,-,87.01.18,3개월권,N,-,25.5,24.7,23,38,2019년 02월 01일,28,0,2019년 07월 10일,2019년 08월 05일
39,박기환,홍지동,010-4540-9742,-,93.07.28,1개월권,Y,T김령진,21.4,21,20,39,2019년 07월 01일,16,3,2019년 07월 16일,2019년 07월 31일
40,곽현태,평창동,010-7043-4288,-,00.09.24,12개월권,Y,T김령진,30.1,25.5,27,-,2018년 08월 01일,189,25,2019년 07월 14일,2019년 07월 31일
41,이기수,홍지동,010-9111-1112,김중선,78.04.12,3개월권,N,-,26.5,24.5,25,41,2019년 05월 02일,70,0,2019년 07월 16일,2019년 08월 01일
